ID_CONTA	DT_ACORDO	LIMITE
999913	2018-11-22	1229.000000
999609	2018-11-22	831.000000
999473	2018-11-22	455.000000
999368	2018-11-22	3073.000000
999251	2018-11-22	1052.000000
998737	2018-11-22	2118.000000
998736	2018-11-22	425.000000
998607	2018-11-22	5719.000000
998592	2018-11-22	270.000000
998469	2018-11-22	1109.000000
998333	2018-11-22	4055.000000
998318	2018-11-22	1573.000000
998312	2018-11-22	1213.000000
998005	2018-11-22	935.000000
997892	2018-11-22	2247.000000
997891	2018-11-22	1482.000000
997742	2018-11-22	1403.000000
997646	2018-11-22	1288.000000
997389	2018-11-22	364.000000
997267	2018-11-22	2581.000000
996820	2018-11-22	593.000000
996638	2018-11-22	533.000000
996529	2018-11-22	987.000000
996351	2018-11-22	2593.000000
996188	2018-11-22	1582.000000
995611	2018-11-22	1162.000000
995159	2018-11-22	989.000000
994959	2018-11-22	331.000000
994407	2018-11-22	1180.000000
994372	2018-11-22	876.000000
994325	2018-11-22	1308.000000
993893	2018-11-22	2182.000000
993774	2018-11-22	384.000000
993741	2018-11-22	533.000000
993690	2018-11-22	1217.000000
993653	2018-11-22	1338.000000
993636	2018-11-22	800.000000
993597	2018-11-22	2376.000000
993156	2018-11-22	2617.000000
993117	2018-11-22	1255.000000
992949	2018-11-22	1461.000000
992926	2018-11-22	1925.000000
992484	2018-11-22	534.000000
992469	2018-11-22	740.000000
992403	2018-11-22	834.000000
992316	2018-11-22	1430.000000
992299	2018-11-22	607.000000
992048	2018-11-22	709.000000
991649	2018-11-22	1561.000000
991646	2018-11-22	1703.000000
991594	2018-11-22	1525.000000
991435	2018-11-22	3769.000000
991333	2018-11-22	593.000000
991321	2018-11-22	1429.000000
991202	2018-11-22	2275.000000
991028	2018-11-22	1120.000000
990968	2018-11-22	1753.000000
990850	2018-11-22	1461.000000
990539	2018-11-22	2193.000000
990472	2018-11-22	847.000000
990272	2018-11-22	562.000000
990253	2018-11-22	1506.000000
990231	2018-11-22	1192.000000
990100	2018-11-22	910.000000
989955	2018-11-22	1249.000000
989922	2018-11-22	1124.000000
989854	2018-11-22	2116.000000
989785	2018-11-22	2528.000000
989763	2018-11-22	1294.000000
989730	2018-11-22	1011.000000
989686	2018-11-22	989.000000
989137	2018-11-22	1229.000000
989111	2018-11-22	1124.000000
988652	2018-11-22	1308.000000
988613	2018-11-22	2022.000000
988537	2018-11-22	1236.000000
988329	2018-11-22	1138.000000
987934	2018-11-22	1728.000000
987899	2018-11-22	1024.000000
987873	2018-11-22	1340.000000
987790	2018-11-22	270.000000
987628	2018-11-22	1125.000000
986963	2018-11-22	2674.000000
986809	2018-11-22	447.000000
986692	2018-11-22	2191.000000
986159	2018-11-22	1290.000000
986059	2018-11-22	1036.000000
986024	2018-11-22	1538.000000
984838	2018-11-22	548.000000
983784	2018-11-22	1744.000000
982434	2018-11-22	410.000000
982330	2018-11-22	1052.000000
981848	2018-11-22	760.000000
981129	2018-11-22	637.000000
979575	2018-11-22	1024.000000
979522	2018-11-22	669.000000
979322	2018-11-22	1052.000000
978989	2018-11-22	1304.000000
977604	2018-11-22	411.000000
975513	2018-11-22	899.000000
974860	2018-11-22	1475.000000
974759	2018-11-22	1919.000000
972355	2018-11-22	1685.000000
972269	2018-11-22	1652.000000
972102	2018-11-22	1169.000000
971587	2018-11-22	2247.000000
971384	2018-11-22	1488.000000
969294	2018-11-22	2519.000000
968594	2018-11-22	989.000000
967658	2018-11-22	857.000000
967557	2018-11-22	1308.000000
966651	2018-11-22	584.000000
965504	2018-11-22	1639.000000
964467	2018-11-22	2034.000000
963696	2018-11-22	357.000000
963595	2018-11-22	3254.000000
962395	2018-11-22	1098.000000
962178	2018-11-22	834.000000
961909	2018-11-22	2202.000000
961291	2018-11-22	1525.000000
960537	2018-11-22	978.000000
958719	2018-11-22	1308.000000
956312	2018-11-22	862.000000
953486	2018-11-22	730.000000
953186	2018-11-22	7271.000000
952848	2018-11-22	1636.000000
952064	2018-11-22	1231.000000
951414	2018-11-22	2194.000000
951096	2018-11-22	1599.000000
950092	2018-11-22	1358.000000
949691	2018-11-22	1618.000000
949609	2018-11-22	1075.000000
949410	2018-11-22	2354.000000
948606	2018-11-22	1308.000000
948037	2018-11-22	1955.000000
945111	2018-11-22	1017.000000
930158	2018-11-22	855.000000
905500	2018-11-22	1876.000000
900233	2018-11-22	270.000000
893290	2018-11-22	1227.000000
892515	2018-11-22	1736.000000
891847	2018-11-22	1290.000000
891611	2018-11-22	351.000000
887410	2018-11-22	1108.000000
886806	2018-11-22	1525.000000
886765	2018-11-22	1996.000000
874368	2018-11-22	601.000000
874239	2018-11-22	781.000000
873746	2018-11-22	2022.000000
873721	2018-11-22	2528.000000
873112	2018-11-22	1744.000000
872921	2018-11-22	2311.000000
872685	2018-11-22	2104.000000
872468	2018-11-22	1631.000000
872453	2018-11-22	1308.000000
872327	2018-11-22	2116.000000
871733	2018-11-22	618.000000
871491	2018-11-22	660.000000
870932	2018-11-22	556.000000
870881	2018-11-22	5189.000000
870690	2018-11-22	1643.000000
870638	2018-11-22	1461.000000
870353	2018-11-22	2184.000000
870145	2018-11-22	1070.000000
869943	2018-11-22	1065.000000
869852	2018-11-22	729.000000
869620	2018-11-22	1685.000000
869385	2018-11-22	983.000000
869291	2018-11-22	880.000000
868785	2018-11-22	1319.000000
868347	2018-11-22	2444.000000
868141	2018-11-22	1160.000000
867779	2018-11-22	2835.000000
867664	2018-11-22	351.000000
866678	2018-11-22	978.000000
866510	2018-11-22	1755.000000
